index,shape-type,vertex-index,axis-0,axis-1
0,polygon,0,8333.621474529686,20719.569121149205
0,polygon,1,8333.621474529686,20598.261364886297
0,polygon,2,8335.137821482973,20560.35269105414
0,polygon,3,8344.23590320269,20511.82958854898
0,polygon,4,8348.784944062549,20495.14977206283
0,polygon,5,8356.366678828981,20475.437261670108
0,polygon,6,8383.660923988135,20436.012240884662
0,polygon,7,8410.955169147288,20402.65260791236
0,polygon,8,8427.634985633438,20389.005485332786
0,polygon,9,8462.510965559024,20367.776627986776
0,polygon,10,8503.452333297753,20361.71124017363
0,polygon,11,8545.910047989772,20357.162199313774
0,polygon,12,8670.25049815925,20357.162199313774
0,polygon,13,8699.061090271689,20360.194893220345
0,polygon,14,8738.486111057135,20360.194893220345
0,polygon,15,8779.427478795866,20366.26028103349
0,polygon,16,8820.368846534595,20379.907403613066
0,polygon,17,8835.53231606746,20389.005485332786
0,polygon,18,8855.24482646018,20405.685301818936
0,polygon,19,8894.669847245626,20442.077628697807
0,polygon,20,8908.316969825202,20457.24109823067
0,polygon,21,8953.807378423793,20539.12383370813
0,polygon,22,8975.036235769801,20598.261364886297
0,polygon,23,8984.13431748952,20637.686385671743
0,polygon,24,8987.167011396092,20740.79797849521
0,polygon,25,8987.167011396092,20774.15761146751
0,polygon,26,8975.036235769801,20821.164367019388
0,polygon,27,8955.323725377079,20856.040346944974
0,polygon,28,8938.643908890928,20871.203816477835
0,polygon,29,8906.800622871917,20896.981714683705
0,polygon,30,8834.015969114173,20939.43942937572
0,polygon,31,8811.270764814877,20951.57020500201
0,polygon,32,8793.074601375441,20965.217327581588
0,polygon,33,8756.68227449657,20983.413491021023
0,polygon,34,8724.838988477557,20994.02791969403
0,polygon,35,8658.11972253296,21009.191389226893
0,polygon,36,8606.563926121224,21009.191389226893
0,polygon,37,8574.720640102212,21006.15869532032
0,polygon,38,8548.942741896344,21000.093307507173
0,polygon,39,8523.164843690476,20987.962531880883
0,polygon,40,8495.870598531323,20968.250021488162
0,polygon,41,8474.641741185314,20948.537511095437
0,polygon,42,8423.085944773578,20895.465367730416
0,polygon,43,8398.824393520998,20865.13842866469
0,polygon,44,8385.177270941422,20843.909571318683
0,polygon,45,8376.079189221702,20825.713407879248
0,polygon,46,8348.784944062549,20780.222999280657
0,polygon,47,8338.170515389545,20755.961448028076
1,polygon,0,9778.700861415336,20037.212992170356
1,polygon,1,9772.635473602191,20012.951440917775
1,polygon,2,9760.5046979759,19973.52642013233
1,polygon,3,9746.857575396323,19923.486970673883
1,polygon,4,9742.308534536465,19903.774460281158
1,polygon,5,9737.759493676605,19840.087888243135
1,polygon,6,9737.759493676605,19712.714744167082
1,polygon,7,9739.275840629893,19686.936845961216
1,polygon,8,9743.82488148975,19670.257029475066
1,polygon,9,9754.439310162756,19653.577212988916
1,polygon,10,9765.05373883576,19641.446437362625
1,polygon,11,9778.700861415336,19629.315661736335
1,polygon,12,9805.99510657449,19595.956028764034
1,polygon,13,9833.289351733645,19571.694477511453
1,polygon,14,9848.452821266508,19561.08004883845
1,polygon,15,9871.198025565802,19551.981967118732
1,polygon,16,9910.623046351247,19541.367538445727
1,polygon,17,9953.080761043264,19535.302150632582
1,polygon,18,9974.309618389272,19530.753109772722
1,polygon,19,10024.349067847721,19526.204068912866
1,polygon,20,10045.57792519373,19526.204068912866
1,polygon,21,10063.774088633165,19524.687721959577
1,polygon,22,10103.19910941861,19524.687721959577
1,polygon,23,10132.00970153105,19529.236762819437
1,polygon,24,10150.205864970487,19533.785803679297
1,polygon,25,10172.95106926978,19545.916579305587
1,polygon,26,10204.794355288794,19565.62908969831
1,polygon,27,10232.088600447947,19585.341600091033
1,polygon,28,10257.866498653815,19602.02141657718
1,polygon,29,10310.938642018837,19639.93009040934
1,polygon,30,10353.396356710853,19673.289723381637
1,polygon,31,10373.108867103576,19693.00223377436
1,polygon,32,10385.239642729866,19708.165703307222
1,polygon,33,10400.40311226273,19733.943601513092
1,polygon,34,10426.181010468597,19797.630173551115
1,polygon,35,10432.246398281743,19815.826336990554
1,polygon,36,10439.828133048173,19829.47345957013
1,polygon,37,10451.958908674464,19862.833092542427
1,polygon,38,10458.024296487609,19888.610990748297
1,polygon,39,10467.122378207328,19920.45427676731
1,polygon,40,10473.187766020474,19947.748521926464
1,polygon,41,10474.704112973759,19970.49372622576
1,polygon,42,10479.253153833619,20008.402400057916
1,polygon,43,10479.253153833619,20029.631257403926
1,polygon,44,10473.187766020474,20073.605319049228
1,polygon,45,10471.671419067186,20091.801482488663
1,polygon,46,10456.507949534323,20131.22650327411
1,polygon,47,10438.311786094888,20150.93901366683
1,polygon,48,10421.631969608738,20166.102483199695
1,polygon,49,10392.821377496297,20188.847687498986
1,polygon,50,10362.49443843057,20205.527503985137
1,polygon,51,10321.55307069184,20225.24001437786
1,polygon,52,10279.095355999823,20238.887136957437
1,polygon,53,10256.350151700528,20243.436177817297
1,polygon,54,10209.343396148652,20247.985218677153
1,polygon,55,10078.937558166028,20247.985218677153
1,polygon,56,10062.25774167988,20246.468871723868
1,polygon,57,10042.545231287157,20246.468871723868
1,polygon,58,10025.865414801008,20244.952524770582
1,polygon,59,10010.701945268145,20241.919830864008
1,polygon,60,9992.505781828708,20240.403483910723
1,polygon,61,9975.82596534256,20235.854443050863
1,polygon,62,9960.662495809696,20232.821749144292
1,polygon,63,9934.884597603828,20222.207320471287
1,polygon,64,9889.39418900524,20191.88038140556
1,polygon,65,9875.747066425662,20179.74960577927
1,polygon,66,9854.518209079653,20158.52074843326
1,polygon,67,9839.35473954679,20137.291891087254
1,polygon,68,9825.707616967213,20120.612074601104
1,polygon,69,9812.060494387635,20100.899564208383
1,polygon,70,9784.766249228482,20059.95819646965
1,polygon,71,9775.668167508764,20044.794726936787
2,polygon,0,9767.564070430823,17214.581225161357
2,polygon,1,9823.598505764843,17575.302902624117
3,polygon,0,8723.801565247964,17790.502705844097
3,polygon,1,8723.801565247964,17742.609754931334
3,polygon,2,8729.78818411206,17668.77478894083
3,polygon,3,8737.77034259752,17632.855075756263
3,polygon,4,8744.754731272296,17614.895219163976
3,polygon,5,8780.674444456867,17559.020109765755
3,polygon,6,8799.632070859834,17532.08032487733
3,polygon,7,8821.58300669485,17504.14277017822
3,polygon,8,8830.562934990992,17497.15838150344
3,polygon,9,8857.50271987942,17481.19406453252
3,polygon,10,8928.344376437877,17455.252049454775
3,polygon,11,8946.304233030161,17453.256509833413
3,polygon,12,8960.273010379717,17450.263200401365
3,polygon,13,8999.186032996335,17448.26766078
3,polygon,14,9042.090134855682,17447.269890969317
3,polygon,15,9070.027689554792,17449.26543059068
3,polygon,16,9105.947402739363,17453.256509833413
3,polygon,17,9138.873806491883,17458.245358886823
3,polygon,18,9158.829202705534,17464.23197775092
3,polygon,19,9174.793519676454,17470.218596615014
3,polygon,20,9191.755606458057,17480.196294721838
3,polygon,21,9221.688700778532,17502.147230556853
3,polygon,22,9250.624025288324,17528.089245634597
3,polygon,23,9286.543738472894,17569.995577683265
3,polygon,24,9332.441149764289,17640.83723424172
3,polygon,25,9347.407696924527,17668.77478894083
3,polygon,26,9351.398776167256,17685.736875722432
3,polygon,27,9355.389855409987,17717.66550966427
3,polygon,28,9357.385395031351,17765.558460577035
3,polygon,29,9357.385395031351,17806.467022815017
3,polygon,30,9354.392085599304,17826.422419028666
3,polygon,31,9352.39654597794,17848.37335486368
3,polygon,32,9343.416617681796,17882.297528426887
3,polygon,33,9336.43222900702,17899.259615208488
3,polygon,34,9323.461221468147,17917.219471800774
3,polygon,35,9306.499134686544,17934.181558582375
3,polygon,36,9289.537047904942,17947.152566121247
3,polygon,37,9274.570500744705,17962.119113281486
3,polygon,38,9232.66416869604,17992.052207601962
3,polygon,39,9193.751146079421,18015.00091324766
3,polygon,40,9126.900568763695,18048.925086810865
3,polygon,41,9096.96747444322,18058.90278491769
3,polygon,42,9077.012078229569,18063.8916339711
3,polygon,43,9026.125817884762,18066.884943403147
3,polygon,44,8974.241787729272,18066.884943403147
3,polygon,45,8938.322074544702,18061.896094349737
3,polygon,46,8872.469267039656,18040.942928325403
3,polygon,47,8840.540633097817,18027.97192078653
3,polygon,48,8813.60084820939,18015.99868305834
3,polygon,49,8794.643221806422,17998.038826466054
3,polygon,50,8774.687825592771,17974.092351009676
3,polygon,51,8765.70789729663,17958.128034038757
3,polygon,52,8759.721278432535,17943.16148687852
3,polygon,53,8750.741350136392,17902.252924640536
3,polygon,54,8745.75250108298,17887.286377480297
3,polygon,55,8730.785953922741,17834.404577514128
3,polygon,56,8728.790414301377,17821.433569975252
